face_L,face_a,face_b,face_chroma,face_redness,face_uniformity,body_L,body_a,body_b,body_chroma,delta_L,delta_a,delta_b,hair_L,hair_chroma,hair_undertone,eye_L,eye_chroma,eye_clarity,contrast_face_hair,contrast_face_eye,contrast_overall,uv_index,cloud_cover,sun_angle,ambient_light_condition,white_balance_shift,shadow_level,highlight_level,noise_level,has_foundation,has_lipstick,has_contour,has_blush,ethnicity_baseline_L,ethnicity_baseline_a,ethnicity_baseline_b,ethnicity,season,sub_season
70.858,-0.556,12.334,12.347,0.0659,0.9065,64.484,0.92,14.828,14.856,6.374,-1.475,-2.494,51.705,17.095,-0.8437,34.913,11.267,0.6458,0.1915,0.3595,0.2798,3.99,48.62,23.95,0.562,-0.0021,0.2125,0.033,0.0244,0,0,0,1,74.242,7.203,19.836,Asian,Summer,Summer_Cool
50.169,1.807,2.58,3.15,0.0663,0.8972,45.237,3.518,-0.689,3.585,4.932,-1.711,3.269,13.615,4.896,-0.412,24.292,9.585,0.3807,0.3655,0.2588,0.2135,7.04,45.77,51.88,0.5299,0.0224,0.38,0.3883,0.0839,0,0,0,1,44.74,12.253,22.709,Asian,Summer,Summer_Muted
75.062,8.465,20.251,21.949,0.2392,0.8233,66.397,8.012,20.679,22.177,8.665,0.452,-0.429,12.898,3.279,0.8206,25.251,4.02,0.8374,0.6216,0.4981,0.5077,4.82,76.9,42.22,0.355,0.0062,0.2511,0.0633,0.1618,1,0,1,1,63.472,11.176,17.5,Asian,Spring,Spring_Bright
53.693,5.22,24.665,25.212,0.2311,0.8705,48.977,5.887,28.093,28.703,4.716,-0.667,-3.427,22.373,2.602,0.3578,31.654,4.693,0.5606,0.3132,0.2204,0.2306,3.9,62.82,37.6,0.3461,-0.3,0.2419,0.0998,0.0239,1,1,0,1,54.164,10.916,19.595,Asian,Autumn,Autumn_Warm
63.286,3.151,7.362,8.008,0.2208,0.8671,55.577,3.088,5.441,6.256,7.709,0.063,1.921,53.953,11.931,-0.101,39.155,11.44,0.7135,0.0933,0.2413,0.1967,5.53,51.38,60.7,0.6204,-0.0534,0.216,0.0844,0.0128,0,0,0,0,63.716,9.136,23.465,Caucasian,Summer,Summer_Cool
92.134,12.607,-5.05,13.581,0.2816,0.7324,86.131,13.497,-5.997,14.77,6.002,-0.89,0.947,21.154,5.496,-0.806,21.794,6.406,0.8559,0.7098,0.7034,0.6432,3.95,66.25,67.5,0.3333,0.0872,0.0306,0.2367,0.0225,1,0,0,1,84.093,8.631,6.451,Caucasian,Winter,Winter_Bright
67.845,13.612,12.052,18.181,0.4025,0.8494,65.455,19.164,9.5,21.39,2.389,-5.552,2.552,15.071,3.433,0.6519,22.322,4.51,0.8384,0.5277,0.4552,0.4295,5.63,53.83,50.51,0.5034,-0.031,0.0994,0.4147,0.0881,0,0,0,1,58.202,11.664,13.76,Asian,Spring,Spring_Bright
75.303,3.773,19.823,20.179,0.1556,0.8008,71.149,1.885,19.502,19.593,4.154,1.889,0.321,54.621,9.64,0.8921,46.247,25.951,0.8348,0.2068,0.2906,0.3412,5.61,59.29,37.2,0.4885,-0.013,0.0792,0.3,0.034,0,0,0,0,61.578,10.5,10.89,Caucasian,Spring,Spring_Bright
23.609,5.43,8.532,10.114,0.2812,0.8601,21.46,4.652,9.285,10.385,2.149,0.778,-0.752,10.729,3.164,-0.3195,23.269,22.156,0.5925,0.1288,0.0034,0.2838,11.0,58.4,90.0,0.3867,-0.0647,0.2627,0.008,0.0125,1,1,0,1,26.812,9.161,18.816,African,Winter,Winter_Cool
52.224,0.606,1.294,1.429,0.0324,0.7572,49.448,2.1,-0.382,2.135,2.775,-1.494,1.677,22.655,4.659,-1.0,22.815,6.618,0.4264,0.2957,0.2941,0.39,2.51,0.0,37.98,0.875,-0.0391,0.3524,0.1901,0.0415,1,1,0,1,65.639,7.625,17.96,Caucasian,Winter,Winter_Cool
58.673,4.635,3.213,5.64,0.2051,0.8944,54.909,4.759,9.087,10.257,3.764,-0.123,-5.874,25.215,4.12,-0.7559,23.515,12.634,0.7478,0.3346,0.3516,0.4514,6.66,53.37,54.02,0.504,-0.0065,0.0117,0.0183,0.0891,1,0,0,0,53.7,11.628,16.779,Asian,Winter,Winter_Bright
48.454,11.071,22.495,25.072,0.2624,0.7045,40.964,10.914,19.329,22.198,7.49,0.158,3.165,13.793,6.368,1.0,31.188,19.825,0.7279,0.3466,0.1727,0.3451,4.31,54.55,44.83,0.4479,0.0718,0.0683,0.2184,0.1298,1,1,0,0,45.58,10.127,21.849,Asian,Spring,Spring_Warm
39.248,4.741,3.776,6.061,0.2264,0.9093,37.663,4.46,1.175,4.612,1.585,0.281,2.601,12.404,8.736,-1.0,28.341,5.521,0.6453,0.2684,0.1091,0.2361,0.71,45.91,40.32,0.5312,0.1497,0.3717,0.1774,0.0847,1,1,0,1,45.156,7.461,14.822,African,Summer,Summer_Cool
65.645,4.174,8.854,9.788,0.1341,0.801,59.766,6.684,6.929,9.627,5.88,-2.51,1.925,61.64,22.683,-0.4163,46.35,22.703,0.517,0.0401,0.193,0.1984,7.7,20.31,65.29,0.8257,-0.1305,0.0267,0.2006,0.0561,1,0,1,1,63.354,6.621,15.62,Caucasian,Summer,Summer_Light
66.712,0.195,5.601,5.604,0.0865,0.8245,60.639,-2.347,0.179,2.353,6.073,2.542,5.422,20.218,2.622,-0.6736,19.227,4.926,0.5775,0.4649,0.4749,0.4375,10.74,57.13,46.9,0.3252,0.028,0.0715,0.182,0.0111,0,1,0,0,52.73,12.603,13.066,Asian,Winter,Winter_Cool
69.209,-1.094,9.132,9.197,0.049,0.8595,63.925,-0.642,11.345,11.363,5.284,-0.452,-2.213,53.071,14.295,0.4237,46.247,40.02,0.3493,0.1614,0.2296,0.2512,5.15,74.04,28.89,0.2918,0.0033,0.0452,0.214,0.024,0,0,0,0,68.174,6.0,18.041,Caucasian,Summer,Summer_Soft
27.4,12.104,8.206,14.623,0.2693,0.8433,22.171,11.851,8.673,14.685,5.229,0.253,-0.467,17.269,7.981,-1.0,23.915,12.031,0.7059,0.1013,0.0348,0.2129,5.12,48.62,4.04,0.6231,0.2316,0.1357,0.0805,0.0218,0,0,0,0,54.012,8.528,19.066,Asian,Winter,Winter_Deep
75.816,6.429,0.053,6.429,0.2024,0.8055,60.013,6.452,-1.052,6.537,15.803,-0.023,1.104,22.378,3.853,-0.3933,24.766,7.884,0.7046,0.5344,0.5105,0.5317,6.05,36.63,42.45,0.7101,-0.0204,0.1171,0.0428,0.0096,1,1,1,0,62.264,7.894,13.233,Asian,Winter,Winter_Clear
58.562,6.761,11.71,13.522,0.119,0.8489,56.22,6.442,17.307,18.467,2.342,0.32,-5.597,9.313,4.376,0.6,43.335,6.905,0.54,0.4925,0.1523,0.2508,6.18,90.3,21.29,0.2858,0.2748,0.2351,0.2073,0.0259,1,0,0,1,55.085,8.054,15.384,Asian,Autumn,Autumn_Soft
49.712,12.091,13.339,18.004,0.2816,0.8841,47.361,8.335,16.478,18.466,2.352,3.757,-3.139,21.791,6.641,0.9744,23.655,7.876,0.3561,0.2792,0.2606,0.2234,9.26,48.57,73.52,0.5091,-0.0234,0.1523,0.3108,0.049,1,1,1,0,59.566,14.967,25.064,Asian,Autumn,Autumn_Muted
50.572,11.916,25.115,27.799,0.363,0.8654,45.159,12.59,25.207,28.176,5.413,-0.673,-0.091,27.378,6.371,0.4086,39.48,5.558,0.4648,0.2319,0.1109,0.2663,2.05,61.37,34.42,0.5153,-0.0661,0.062,0.1488,0.012,0,1,0,1,51.25,14.444,26.867,Asian,Spring,Spring_Warm
56.899,17.195,17.379,24.448,0.3907,0.7566,51.794,15.155,17.129,22.871,5.105,2.04,0.25,20.219,6.907,0.615,53.915,21.029,0.7758,0.3668,0.0298,0.2734,0.6,52.61,43.34,0.5739,0.1389,0.0632,0.1202,0.025,0,1,0,1,47.494,13.012,23.847,Asian,Spring,Spring_Bright
66.148,-0.418,3.56,3.584,0.02,0.8335,57.914,-2.247,1.804,2.881,8.235,1.829,1.756,59.79,29.773,0.1998,53.857,12.882,0.5365,0.0636,0.1229,0.2009,0.0,100.0,32.8,0.05,0.0013,0.1161,0.1367,0.1256,1,1,0,0,64.361,0.607,10.458,Caucasian,Summer,Summer_Light
35.069,12.267,17.498,21.369,0.2522,0.7757,29.94,11.98,19.652,23.016,5.129,0.286,-2.154,19.044,10.769,0.7249,36.304,4.534,0.334,0.1602,0.0124,0.1208,1.47,21.71,37.46,0.8732,-0.0213,0.2262,0.0945,0.0087,0,1,0,1,54.472,14.996,20.018,Asian,Autumn,Autumn_Muted
62.343,10.294,10.311,14.57,0.3196,0.9255,60.764,10.748,9.692,14.473,1.58,-0.454,0.619,51.87,12.261,-0.0079,50.284,26.133,0.6893,0.1047,0.1206,0.2248,3.32,53.6,55.38,0.5693,0.0694,0.2512,0.0223,0.0011,0,0,0,1,57.155,9.858,10.564,Caucasian,Summer,Summer_Light
53.761,4.909,-2.76,5.632,0.1688,0.7028,52.408,3.507,-1.433,3.789,1.354,1.402,-1.327,17.925,3.736,-0.926,23.439,7.561,0.4531,0.3584,0.3032,0.3417,4.64,48.45,35.95,0.7473,-0.0246,0.0401,0.0932,0.0737,0,0,0,1,51.064,6.632,16.389,Caucasian,Winter,Winter_Cool
74.224,0.601,-5.147,5.182,0.0549,0.8434,71.831,-0.265,-3.703,3.713,2.393,0.867,-1.444,17.551,10.342,-0.9984,17.467,5.391,0.693,0.5667,0.5676,0.4808,8.29,3.21,74.0,0.9658,-0.1606,0.0297,0.1097,0.0475,1,0,1,0,73.99,5.989,16.427,Caucasian,Winter,Winter_Clear
82.867,11.071,14.404,18.168,0.2678,0.838,81.021,11.853,11.973,16.848,1.846,-0.782,2.431,50.5,15.839,-0.2285,58.606,13.257,0.6746,0.3237,0.2426,0.3202,4.14,3.9,39.03,0.9828,-0.0682,0.2348,0.1309,0.0416,0,0,0,1,67.045,7.405,11.72,Caucasian,Spring,Spring_Clear
35.14,9.104,-3.244,9.665,0.2038,0.7994,32.14,10.311,-7.654,12.841,3.0,-1.207,4.41,10.734,4.527,-0.5619,31.622,11.747,0.5261,0.2441,0.0352,0.3304,3.6,49.44,9.12,0.5879,-0.0277,0.171,0.251,0.0006,0,0,0,1,48.466,9.543,9.597,African,Winter,Winter_Cool
24.768,7.241,4.799,8.687,0.1418,0.7101,20.789,9.284,4.697,10.404,3.979,-2.042,0.103,9.411,10.032,-1.0,31.2,9.507,0.6785,0.1536,0.0643,0.2882,4.61,43.3,80.01,0.7069,0.0968,0.1976,0.0744,0.0138,1,1,0,0,41.252,4.502,19.546,African,Winter,Winter_Deep
35.98,10.435,15.746,18.889,0.2809,0.8122,32.078,8.803,14.698,17.132,3.902,1.632,1.048,13.839,3.303,0.0463,60.758,21.458,0.7014,0.2214,0.2478,0.3203,6.68,81.42,81.49,0.2973,-0.0724,0.0798,0.039,0.0694,1,1,1,1,37.817,10.919,15.52,African,Spring,Spring_Clear
36.964,8.602,14.814,17.13,0.2566,0.8533,30.527,10.0,8.129,12.888,6.437,-1.399,6.685,10.45,6.226,0.6918,25.4,14.114,0.5127,0.2651,0.1156,0.224,2.55,54.4,46.5,0.4427,0.1044,0.1882,0.2764,0.1891,0,0,0,1,36.055,6.264,21.163,African,Autumn,Autumn_Soft
65.504,3.751,-5.042,6.284,0.1264,0.7234,62.81,3.704,-6.36,7.36,2.694,0.047,1.318,24.898,12.154,-1.0,18.287,6.777,0.7436,0.4061,0.4722,0.3862,2.56,89.56,39.26,0.2916,0.0293,0.1521,0.1444,0.07,0,1,0,0,78.731,8.807,10.886,Caucasian,Winter,Winter_Cool
38.713,8.973,19.38,21.356,0.2877,0.7321,31.679,7.132,25.531,26.509,7.034,1.841,-6.152,19.967,9.421,1.0,30.136,6.622,0.6267,0.1875,0.0858,0.2317,5.09,38.43,26.07,0.5079,-0.2036,0.1722,0.2869,0.0247,1,0,0,1,38.628,7.679,20.433,African,Autumn,Autumn_Warm
22.85,5.489,10.291,11.663,0.1938,0.8426,20.86,4.126,11.947,12.639,1.99,1.363,-1.656,19.552,5.014,-0.5498,24.219,17.98,0.7382,0.033,0.0137,0.1359,9.23,0.0,90.0,0.9454,-0.0406,0.3745,0.085,0.0745,0,0,0,0,27.999,2.608,9.829,African,Summer,Summer_Cool
17.646,5.393,16.806,17.65,0.1849,0.8656,14.292,0.518,12.908,12.919,3.354,4.875,3.898,18.011,3.912,0.4543,25.097,6.718,0.2349,0.0037,0.0745,0.1342,5.08,50.56,8.57,0.5177,0.0068,0.1584,0.1783,0.0615,1,1,1,0,20.0,11.928,20.88,African,Autumn,Autumn_Muted
82.06,12.153,1.236,12.216,0.2936,0.792,79.39,10.289,2.76,10.653,2.67,1.864,-1.524,12.738,5.002,0.1538,26.141,6.715,0.5231,0.6932,0.5592,0.6053,4.27,0.0,46.77,1.0,-0.0982,0.1232,0.0986,0.1076,0,0,0,1,72.501,12.699,13.664,Caucasian,Winter,Winter_Bright
70.702,20.679,24.997,32.441,0.4728,0.8151,67.65,20.395,24.377,31.784,3.053,0.283,0.62,38.75,9.625,1.0,29.016,7.296,0.3334,0.3195,0.4169,0.3235,5.6,29.84,38.87,0.6415,-0.0303,0.1714,0.2638,0.0243,1,1,0,1,76.752,11.111,9.406,Caucasian,Autumn,Autumn_Warm
79.425,7.186,2.713,7.681,0.2346,0.8601,73.618,2.859,0.507,2.904,5.807,4.327,2.206,23.76,2.084,-0.5731,24.239,4.538,0.6147,0.5567,0.5519,0.4303,3.38,73.89,45.15,0.1976,-0.0239,0.0373,0.1836,0.2753,1,1,0,1,76.994,7.523,14.304,Caucasian,Winter,Winter_Cool
79.764,11.204,7.54,13.505,0.2297,0.7299,73.67,9.198,5.184,10.558,6.094,2.006,2.357,57.118,20.606,-0.08,42.892,10.631,0.7208,0.2265,0.3687,0.171,6.36,48.54,63.69,0.6115,0.1068,0.0786,0.3361,0.1745,1,1,1,0,79.224,7.377,15.727,Caucasian,Summer,Summer_Light
87.443,7.452,20.154,21.487,0.1474,0.9238,78.736,8.827,20.995,22.775,8.707,-1.375,-0.841,49.493,14.323,1.0,46.358,18.131,0.7008,0.3795,0.4108,0.284,6.04,35.92,68.87,0.6747,-0.0639,0.0391,0.0698,0.0661,1,1,1,0,87.473,6.811,15.387,Caucasian,Spring,Spring_Warm
63.265,5.444,-2.822,6.132,0.1885,0.8736,60.206,6.18,-2.404,6.632,3.059,-0.737,-0.418,17.948,3.569,-0.861,29.037,4.684,0.6301,0.4532,0.3423,0.4116,3.51,51.03,72.06,0.6595,0.0151,0.2323,0.3126,0.0924,1,0,0,0,66.11,7.955,22.591,Caucasian,Winter,Winter_Cool
64.966,12.92,23.04,26.415,0.3621,0.8487,58.611,11.456,25.43,27.891,6.355,1.464,-2.39,10.015,6.19,0.8764,26.336,10.163,0.8829,0.5495,0.3863,0.4089,6.52,54.02,21.72,0.5693,-0.045,0.1138,0.0867,0.0806,0,1,0,0,44.24,8.67,19.785,African,Spring,Spring_Bright
71.328,8.722,6.828,11.076,0.3024,0.8455,70.386,14.543,5.988,15.727,0.942,-5.821,0.84,35.731,15.349,-0.1134,33.071,7.523,0.9418,0.356,0.3826,0.4954,8.51,1.49,63.39,0.9834,0.0502,0.4365,0.2821,0.0382,1,1,1,1,69.311,17.278,20.729,Asian,Winter,Winter_Bright
57.317,4.09,1.269,4.283,0.0961,0.7869,51.074,4.819,4.351,6.493,6.243,-0.729,-3.082,10.112,2.453,-0.2904,19.877,6.956,0.6732,0.472,0.3744,0.4548,1.79,69.35,42.46,0.3901,0.0299,0.1279,0.2136,0.0072,1,0,1,1,52.945,8.569,11.285,Asian,Winter,Winter_Clear
58.28,8.786,4.67,9.95,0.1852,0.8944,46.221,8.597,1.67,8.758,12.059,0.189,3.0,20.732,6.683,-0.7573,23.397,11.273,0.7863,0.3755,0.3488,0.4725,10.64,100.0,41.39,0.172,0.1153,0.2039,0.4618,0.006,1,0,1,0,45.989,6.438,16.801,Asian,Winter,Winter_Clear
64.718,10.547,11.927,15.921,0.333,0.8784,59.548,12.768,10.839,16.749,5.169,-2.221,1.087,39.586,20.445,0.4602,20.907,16.143,0.4283,0.2513,0.4381,0.2059,10.09,16.59,73.15,0.7709,-0.046,0.1101,0.438,0.0084,1,1,1,1,81.415,7.388,13.088,Caucasian,Autumn,Autumn_Muted
72.381,9.956,-1.127,10.019,0.2155,0.7777,72.531,12.63,-3.785,13.185,-0.15,-2.674,2.658,26.495,6.551,-1.0,20.324,9.611,0.6104,0.4589,0.5206,0.5305,4.21,54.94,89.43,0.464,0.0461,0.3669,0.0076,0.1655,1,1,0,1,63.499,6.662,22.215,Asian,Winter,Winter_Bright
68.8,0.074,2.218,2.219,0.1125,0.8501,62.405,-1.002,1.066,1.463,6.395,1.076,1.152,55.678,22.34,-0.8883,29.639,6.311,0.5991,0.1312,0.3916,0.2219,9.43,23.75,72.63,0.772,0.0397,0.0088,0.1818,0.0166,1,1,1,0,68.492,6.056,17.659,Caucasian,Summer,Summer_Cool
24.122,6.441,0.511,6.461,0.1344,0.8637,23.392,3.171,-3.509,4.73,0.73,3.27,4.021,22.278,5.011,-0.508,21.485,25.0,0.6215,0.0184,0.0264,0.3502,3.92,34.58,54.56,0.6367,0.025,0.4045,0.1417,0.018,0,0,0,1,27.091,5.918,9.667,African,Winter,Winter_Bright
68.47,13.698,19.073,23.483,0.299,0.8657,57.914,16.649,17.318,24.023,10.556,-2.951,1.755,27.619,6.396,-0.2839,30.086,17.049,0.7422,0.4085,0.3838,0.4289,11.0,31.52,73.06,0.6246,0.2302,0.2156,0.2716,0.1611,0,0,0,1,63.843,12.047,17.209,Asian,Spring,Spring_Clear
54.932,9.873,21.524,23.68,0.2398,0.8192,52.197,8.896,22.215,23.93,2.734,0.977,-0.691,25.474,9.654,1.0,32.686,8.756,0.674,0.2946,0.2225,0.2464,6.69,61.29,12.15,0.4535,0.0198,0.2156,0.1415,0.1145,1,0,1,1,54.608,11.926,21.598,Asian,Autumn,Autumn_Warm
52.16,3.045,6.586,7.255,0.169,0.6703,48.871,1.124,7.344,7.429,3.289,1.921,-0.758,26.149,3.801,0.1593,26.463,16.012,0.3495,0.2601,0.257,0.2159,5.63,11.57,70.4,0.7644,-0.0989,0.1484,0.1026,0.0181,1,0,1,0,37.346,8.876,10.408,Asian,Summer,Summer_Soft
80.232,3.445,6.143,7.043,0.1389,0.7762,74.11,4.519,7.028,8.355,6.122,-1.074,-0.885,59.407,23.092,-0.4363,24.009,13.745,0.6125,0.2083,0.5622,0.3503,0.99,44.43,72.5,0.5404,0.0348,0.0592,0.1737,0.0091,1,0,1,1,55.574,9.143,16.249,Asian,Summer,Summer_Light
69.33,12.772,18.497,22.479,0.332,0.8948,63.916,12.602,16.446,20.719,5.414,0.17,2.052,66.981,16.582,0.9863,36.438,7.579,0.666,0.0235,0.3289,0.2128,7.28,19.03,62.09,0.7365,0.127,0.1413,0.1099,0.006,0,1,0,1,63.593,11.013,19.852,Asian,Spring,Spring_Light
23.644,20.159,23.056,30.626,0.4925,0.868,20.331,19.723,19.076,27.439,3.313,0.436,3.98,16.512,6.945,0.809,23.286,4.921,0.5538,0.0713,0.0036,0.1534,3.06,29.81,52.4,0.7797,0.0305,0.0586,0.0614,0.0004,0,1,0,1,34.184,1.523,14.003,African,Autumn,Autumn_Deep
68.105,4.83,5.118,7.037,0.1148,0.8184,63.014,4.711,4.758,6.696,5.091,0.119,0.36,23.345,5.054,-0.5959,19.398,9.766,0.7221,0.4476,0.4871,0.4159,8.78,87.38,76.51,0.2347,-0.0828,0.1267,0.0723,0.0231,1,0,1,0,69.369,8.689,15.2,Caucasian,Winter,Winter_Cool
57.812,8.709,1.18,8.789,0.2866,0.8072,55.088,10.965,2.893,11.34,2.724,-2.256,-1.713,15.536,4.122,-0.3781,35.654,5.011,0.737,0.4228,0.2216,0.4224,2.81,87.53,8.81,0.0505,-0.0171,0.1943,0.065,0.0581,1,1,1,1,50.497,9.932,10.505,Caucasian,Winter,Winter_Bright
53.689,14.771,18.944,24.022,0.3137,0.7964,51.372,14.53,18.79,23.753,2.317,0.241,0.153,20.054,5.458,1.0,45.602,27.501,0.7308,0.3364,0.0809,0.2329,5.82,52.15,84.78,0.5959,0.1081,0.2215,0.062,0.122,0,1,0,1,53.762,14.767,21.649,Asian,Spring,Spring_Light
61.731,9.557,19.73,21.923,0.1872,0.9113,56.059,9.059,18.136,20.273,5.672,0.498,1.594,9.856,7.456,0.3724,55.056,13.727,0.6572,0.5188,0.0668,0.2604,1.97,0.0,38.04,0.9516,0.0014,0.127,0.0368,0.0359,1,1,0,0,52.047,5.303,15.943,Asian,Spring,Spring_Clear
42.771,3.764,8.468,9.267,0.1196,0.8183,38.809,2.455,4.406,5.044,3.962,1.309,4.063,11.568,5.412,-0.6811,29.296,7.287,0.4964,0.312,0.1348,0.2229,7.73,0.0,40.42,0.9873,-0.0428,0.0926,0.2758,0.0413,1,1,0,0,40.504,5.815,21.402,African,Summer,Summer_Light
67.656,6.17,17.521,18.576,0.2998,0.8759,64.741,3.628,16.793,17.181,2.915,2.542,0.727,33.722,5.445,0.4782,25.374,7.412,0.412,0.3393,0.4228,0.2998,2.03,52.83,41.17,0.6,-0.0325,0.0222,0.2022,0.0057,1,0,1,0,67.993,4.165,11.414,Caucasian,Autumn,Autumn_Muted
75.59,6.012,7.4,9.534,0.131,0.8246,71.945,5.859,12.062,13.409,3.645,0.153,-4.662,49.302,15.597,-0.534,37.411,7.905,0.4603,0.2629,0.3818,0.3461,4.02,11.09,65.57,0.774,-0.0175,0.1387,0.3044,0.0559,1,0,1,1,65.811,9.264,8.663,Caucasian,Summer,Summer_Soft
49.975,10.274,19.04,21.635,0.1937,0.8596,48.958,10.521,17.288,20.237,1.017,-0.247,1.752,40.053,7.387,0.3282,22.674,12.706,0.4848,0.0992,0.273,0.1794,2.7,58.57,32.01,0.4401,0.0068,0.1896,0.0292,0.0479,0,1,0,0,59.52,7.393,12.343,Asian,Autumn,Autumn_Soft
73.453,4.75,3.572,5.943,0.0893,0.9036,66.407,6.345,3.762,7.377,7.047,-1.595,-0.191,21.622,2.189,-0.4831,32.335,4.193,0.5594,0.5183,0.4112,0.2965,4.03,21.72,49.26,0.7678,0.0484,0.0076,0.4311,0.1128,1,1,1,0,63.763,8.506,23.414,Asian,Summer,Summer_Cool
61.093,5.297,7.083,8.845,0.2088,0.818,56.355,4.387,7.11,8.354,4.738,0.91,-0.027,20.052,7.551,-0.1015,16.739,13.59,0.6418,0.4104,0.4435,0.294,1.03,20.83,42.73,0.8412,-0.0324,0.1039,0.0312,0.0091,0,1,0,1,47.066,8.44,18.141,African,Summer,Summer_Light
58.342,12.523,2.795,12.831,0.2798,0.849,51.398,13.667,2.47,13.889,6.944,-1.144,0.324,13.223,3.868,-1.0,34.341,10.183,0.5308,0.4512,0.24,0.3907,2.24,85.49,56.59,0.1472,0.1234,0.2007,0.2096,0.0106,1,1,0,1,59.962,10.819,27.891,Asian,Winter,Winter_Cool
46.491,10.489,17.041,20.01,0.3348,0.8801,44.224,5.236,18.17,18.909,2.267,5.252,-1.129,18.997,3.795,0.4826,33.702,6.072,0.6713,0.2749,0.1279,0.2496,6.53,57.3,73.48,0.4046,-0.1312,0.1877,0.0141,0.0411,1,1,1,1,46.383,12.861,16.978,Asian,Spring,Spring_Light
61.791,8.921,10.022,13.418,0.2401,0.8451,56.15,8.854,14.744,17.198,5.641,0.068,-4.722,17.278,9.779,0.5636,27.739,5.813,0.4196,0.4451,0.3405,0.32,6.25,53.46,11.92,0.4981,-0.0102,0.0466,0.3602,0.0119,1,0,0,1,54.093,9.831,18.312,Asian,Autumn,Autumn_Soft
58.953,-0.935,6.736,6.801,0.033,0.7565,54.143,-0.434,4.792,4.812,4.81,-0.501,1.944,13.965,4.013,-0.2226,28.973,9.414,0.3589,0.4499,0.2998,0.3343,6.21,10.53,43.79,0.8419,-0.0381,0.2786,0.3562,0.0953,0,0,0,0,51.578,10.916,20.651,Asian,Summer,Summer_Muted
46.044,25.415,27.58,37.504,0.501,0.7824,39.652,24.756,32.73,41.038,6.392,0.659,-5.15,34.262,4.125,0.45,29.187,5.672,0.4976,0.1178,0.1686,0.2372,3.07,100.0,40.44,0.169,0.0034,0.0627,0.2138,0.005,1,1,0,1,44.499,5.235,8.778,Caucasian,Autumn,Autumn_Warm
49.862,2.58,3.126,4.053,0.1608,0.8576,47.005,1.783,4.533,4.871,2.857,0.796,-1.407,19.935,9.327,-0.7089,30.667,10.799,0.5481,0.2993,0.1919,0.2029,3.61,69.0,59.94,0.4572,-0.0322,0.1635,0.3005,0.0153,0,0,0,0,60.019,12.338,8.611,Asian,Summer,Summer_Muted
40.082,11.458,28.196,30.435,0.2811,0.8913,32.345,7.362,30.016,30.906,7.738,4.096,-1.82,30.55,2.145,1.0,32.204,5.995,0.4818,0.0953,0.0788,0.2647,6.41,8.3,65.3,0.9472,-0.0247,0.2607,0.1613,0.006,1,0,0,1,54.098,8.103,8.539,Caucasian,Autumn,Autumn_Warm
87.957,2.859,-0.221,2.867,0.0906,0.7769,83.045,3.622,0.789,3.707,4.911,-0.764,-1.01,22.642,2.927,-0.455,35.29,16.332,0.6616,0.6532,0.5267,0.5366,5.53,35.73,34.67,0.7448,0.0447,0.0763,0.156,0.0637,1,0,1,1,71.82,10.694,22.116,Asian,Winter,Winter_Bright
44.314,12.905,18.968,22.942,0.3344,0.8701,42.279,12.577,20.933,24.421,2.035,0.328,-1.965,15.276,4.176,0.4712,21.198,16.769,0.5852,0.2904,0.2312,0.2332,3.23,65.81,10.67,0.4075,-0.0279,0.0771,0.1702,0.0776,0,0,0,0,43.425,7.154,19.652,African,Autumn,Autumn_Soft
48.539,10.776,10.933,15.351,0.1994,0.7984,44.998,10.854,14.902,18.436,3.542,-0.078,-3.969,11.837,3.782,0.5466,32.693,9.919,0.511,0.367,0.1585,0.2359,4.81,55.47,13.61,0.4374,-0.0276,0.2687,0.1819,0.021,1,0,0,0,56.996,8.698,25.184,Asian,Autumn,Autumn_Muted
82.224,2.306,0.669,2.401,0.1396,0.722,79.606,1.32,2.372,2.715,2.618,0.986,-1.703,15.206,2.676,-1.0,26.104,4.338,0.7104,0.6702,0.5612,0.5696,4.45,87.23,61.59,0.1913,-0.2562,0.06,0.1869,0.0998,1,0,1,0,66.61,9.02,14.908,Caucasian,Winter,Winter_Clear
31.824,10.938,19.583,22.431,0.2773,0.6757,25.149,9.137,24.354,26.012,6.675,1.801,-4.771,18.139,2.474,1.0,26.528,17.045,0.5871,0.1368,0.053,0.1987,6.09,73.97,49.32,0.4644,-0.0283,0.1196,0.2787,0.1467,0,0,0,1,25.945,10.725,19.375,African,Spring,Spring_Warm
57.866,10.424,17.033,19.97,0.1904,0.6882,43.747,10.32,14.812,18.052,14.118,0.104,2.222,32.241,4.782,0.2152,15.505,4.074,0.378,0.2562,0.4236,0.3766,5.03,100.0,22.04,0.1785,-0.0268,0.3075,0.0404,0.0929,0,1,0,1,60.604,7.739,9.739,Caucasian,Autumn,Autumn_Deep
65.354,5.815,16.635,17.623,0.1771,0.9178,60.735,9.895,18.899,21.333,4.619,-4.08,-2.264,12.801,6.878,0.4931,19.857,16.586,0.8809,0.5255,0.455,0.4482,8.0,15.8,67.79,0.7903,-0.1558,0.0178,0.131,0.0093,0,0,0,0,49.742,5.613,15.546,African,Spring,Spring_Bright
29.599,11.454,17.423,20.851,0.3914,0.8183,26.952,11.814,17.02,20.719,2.648,-0.361,0.403,12.98,6.018,1.0,22.455,18.797,0.4378,0.1662,0.0714,0.1877,2.26,27.5,50.22,0.822,-0.0087,0.3752,0.0448,0.1299,1,1,0,1,33.733,8.531,12.716,African,Spring,Spring_Warm
